engine_hp,msrp
306.0,36100
306.0,33200
306.0,37900
306.0,29600
306.0,38070
306.0,38900
306.0,33840
306.0,38630
306.0,39630
306.0,37740
306.0,41980
306.0,36280
306.0,36740
306.0,40980
306.0,38680
306.0,28510
306.0,30210
306.0,31210
306.0,33340
306.0,37280
306.0,41570
306.0,36870
306.0,42570
306.0,37870
306.0,39220
306.0,40220
400.0,160829
400.0,140615
400.0,150694
400.0,170829
400.0,165986
400.0,154090
400.0,143860
400.0,176287
400.0,157767
425.0,187124
400.0,147332
400.0,169900
400.0,180408
350.0,46790
332.0,48100
332.0,29990
332.0,41820
332.0,31290
332.0,34870
332.0,33570
332.0,46570
332.0,37970
332.0,37070
332.0,49400
332.0,45270
332.0,39270
350.0,45490
350.0,41990
332.0,38370
350.0,43290
332.0,41820
332.0,48100
350.0,43290
332.0,39270
332.0,34870
350.0,41990
332.0,38370
332.0,45270
350.0,45490
332.0,29990
332.0,46570
350.0,46790
332.0,49400
332.0,37070
332.0,31290
332.0,37970
332.0,33570
332.0,37970
332.0,38370
332.0,34870
332.0,29990
350.0,45490
350.0,41990
332.0,45270
332.0,33570
332.0,48100
332.0,39270
332.0,46570
332.0,49400
332.0,37070
332.0,41820
350.0,46790
350.0,43290
332.0,31290
184.0,25045
184.0,26095
155.0,23795
155.0,19595
155.0,18445
184.0,23845
184.0,25395
184.0,24895
184.0,25545
155.0,24295
155.0,19495
155.0,20095
155.0,19995
155.0,21145
155.0,23245
155.0,16945
184.0,24345
155.0,20645
155.0,18945
184.0,26595
155.0,22745
155.0,17995
155.0,22545
155.0,21095
184.0,25495
155.0,20745
155.0,24295
155.0,23595
155.0,21795
155.0,17845
184.0,26495
184.0,24745
155.0,18895
155.0,19595
155.0,23245
155.0,18545
184.0,25795
155.0,20045
184.0,25445
184.0,24795
155.0,21495
155.0,17845
184.0,23145
184.0,24195
155.0,20145
184.0,24945
184.0,23895
155.0,19095
184.0,23445
155.0,18895
155.0,22245
184.0,22395
155.0,20445
240.0,42300
240.0,40300
240.0,40300
240.0,42300
300.0,45800
300.0,47800
240.0,43650
300.0,49950
300.0,47950
240.0,41650
320.0,48300
320.0,50300
248.0,43950
248.0,41950
300.0,56900
300.0,46250
240.0,50750
240.0,42750
240.0,48750
300.0,48250
240.0,42750
240.0,50750
240.0,40750
300.0,54900
240.0,48750
240.0,40750
240.0,52000
240.0,50000
240.0,41850
300.0,50150
240.0,41850
300.0,58950
240.0,43850
300.0,48150
300.0,56950
248.0,50300
248.0,52300
320.0,50500
248.0,44150
248.0,42150
320.0,59300
320.0,57300
320.0,48500
268.0,2168
282.0,2497
275.0,2278
275.0,2650
201.0,2000
201.0,2186
442.0,223970
442.0,219775
442.0,228625
442.0,224585
442.0,228625
442.0,224585
562.0,257412
562.0,233509
562.0,233509
597.0,288000
562.0,257412
562.0,239340
562.0,263553
597.0,291744
237.0,63900
237.0,68400
237.0,53900
237.0,55900
237.0,65900
270.0,41365
270.0,35740
270.0,37615
270.0,34695
270.0,35725
270.0,43400
270.0,32820
270.0,38645
270.0,37825
270.0,43620
270.0,36115
270.0,35950
270.0,33210
270.0,38855
270.0,41585
270.0,35085
270.0,41310
270.0,36690
270.0,44360
270.0,39595
270.0,41850
270.0,42325
270.0,35885
270.0,38565
270.0,36915
270.0,34010
300.0,60700
445.0,71400
300.0,63000
445.0,69100
300.0,63200
445.0,72500
300.0,60900
300.0,63200
300.0,60900
445.0,72500
443.0,67200
302.0,57900
255.0,57100
241.0,52250
255.0,59400
443.0,64900
241.0,49950
302.0,55600
255.0,57350
302.0,58150
302.0,55850
240.0,52500
240.0,50200
443.0,68600
443.0,66300
255.0,59650
322.0,4155
322.0,2427
322.0,3245
322.0,4701
315.0,3176
315.0,3613
315.0,5140
315.0,2692
160.0,26595
101.0,18700
135.0,19700
101.0,22800
101.0,24700
160.0,22495
101.0,17495
101.0,20345
101.0,17700
101.0,20400
101.0,16845
160.0,26695
101.0,21295
101.0,20395
101.0,17745
160.0,22575
101.0,24495
101.0,16995
101.0,20395
135.0,19700
101.0,17900
101.0,21395
160.0,19995
101.0,19390
101.0,17485
101.0,20885
160.0,21490
101.0,15990
160.0,19345
160.0,23095
160.0,24695
160.0,21695
160.0,20695
160.0,21880
160.0,23395
160.0,24795
160.0,20795
160.0,19495
160.0,23695
160.0,20995
160.0,22995
180.0,24635
180.0,25135
180.0,29235
180.0,23335
180.0,22735
180.0,27035
160.0,20000
180.0,27335
180.0,25235
180.0,27035
180.0,25135
180.0,25235
180.0,23890
180.0,23335
160.0,19995
485.0,248500
485.0,205840
238.0,2323
238.0,2170
238.0,2443
238.0,2304
562.0,184900
515.0,214670
515.0,224670
515.0,217890
515.0,228339
515.0,228339
515.0,217890
543.0,366000
631.0,455500
604.0,405500
543.0,372500
620.0,412000
543.0,379050
620.0,418950
611.0,320580
611.0,310543
611.0,310543
611.0,320580
661.0,410000
157.0,24470
157.0,20940
157.0,19940
157.0,22070
157.0,20140
157.0,24670
157.0,21140
157.0,22270
157.0,24770
157.0,22370
157.0,21240
445.0,92600
315.0,81300
315.0,78300
445.0,89600
445.0,93900
315.0,82500
445.0,90900
315.0,79500
445.0,91200
315.0,82800
445.0,94200
315.0,79800
445.0,94900
315.0,86600
315.0,79100
315.0,76100
445.0,90400
315.0,83600
445.0,87400
445.0,97900
315.0,87800
315.0,77300
445.0,99200
445.0,96200
315.0,80300
315.0,84800
445.0,91700
445.0,88700
445.0,92000
315.0,77600
445.0,89000
315.0,80600
315.0,85100
315.0,88100
445.0,96500
445.0,99500
402.0,2960
389.0,3108
389.0,4623
389.0,3211
140.0,2000
110.0,2000
140.0,2000
140.0,2000
140.0,2000
140.0,2000
140.0,2000
110.0,2000
532.0,313088
532.0,313088
532.0,313088
170.0,2080
170.0,2234
130.0,2000
130.0,2146
165.0,22935
165.0,19935
125.0,20935
125.0,18735
165.0,19985
125.0,18785
165.0,21885
604.0,456500
543.0,417000
631.0,506500
543.0,423500
620.0,463000
620.0,470350
543.0,430450
641.0,265500
641.0,280225
184.0,24895
184.0,22895
184.0,23845
184.0,21190
184.0,29895
184.0,22995
184.0,24995
184.0,21495
184.0,30195
184.0,23945
184.0,30695
184.0,21945
184.0,24195
184.0,22995
184.0,25245
535.0,141200
315.0,78000
445.0,91000
445.0,94000
315.0,81000
315.0,74000
445.0,87300
445.0,90300
255.0,82500
445.0,94400
320.0,81300
445.0,97400
445.0,94600
445.0,97600
320.0,84500
320.0,81500
300.0,53900
350.0,66300
114.0,2000
153.0,2000
114.0,2000
114.0,2000
114.0,2000
153.0,2000
162.0,2000
162.0,2000
114.0,2000
162.0,2000
162.0,2000
114.0,2000
162.0,2000
114.0,2000
114.0,2000
114.0,2000
144.0,2000
162.0,2000
162.0,2000
188.0,2000
144.0,2000
282.0,4784
322.0,5858
372.0,8488
322.0,6954
282.0,5680
322.0,7624
282.0,6693
108.0,2000
130.0,2000
130.0,2000
130.0,2000
130.0,2000
130.0,2000
222.0,2000
168.0,2000
240.0,2000
168.0,2000
168.0,2000
222.0,2000
168.0,2000
240.0,2000
222.0,2000
222.0,2000
168.0,2000
222.0,2000
240.0,2000
168.0,2000
240.0,2000
222.0,2000
168.0,2000
168.0,2000
168.0,2000
168.0,2000
240.0,2000
222.0,2000
240.0,2091
190.0,2000
190.0,2000
222.0,2000
205.0,26255
200.0,26975
227.0,26950
165.0,22990
230.0,26950
173.0,22990
220.0,28900
220.0,44080
220.0,46080
220.0,37115
220.0,39490
220.0,34340
220.0,44080
220.0,40840
220.0,31180
220.0,32395
220.0,34340
220.0,34975
220.0,37115
220.0,34975
220.0,30250
220.0,32395
220.0,29830
220.0,46080
210.0,37810
280.0,51330
210.0,38305
280.0,44885
210.0,30360
210.0,42130
280.0,43605
210.0,31790
210.0,35315
210.0,37140
210.0,34150
210.0,44455
210.0,36395
210.0,47345
207.0,32395
207.0,28900
207.0,30330
207.0,39990
207.0,38115
207.0,45080
207.0,35340
207.0,36975
207.0,37020
210.0,28900
210.0,38115
210.0,32395
210.0,39990
210.0,30330
210.0,37020
210.0,35340
210.0,36975
210.0,45080
265.0,37250
265.0,35875
265.0,33380
265.0,40245
300.0,48010
260.0,39400
260.0,43270
260.0,39650
260.0,38380
260.0,40765
260.0,42000
300.0,49165
220.0,38525
300.0,49565
220.0,43435
300.0,48030
290.0,39190
300.0,41190
300.0,42770
285.0,40400
390.0,46530
390.0,49105
285.0,42615
300.0,45345
225.0,2000
210.0,2000
170.0,2000
200.0,2000
210.0,2122
170.0,2000
225.0,2145
200.0,2084
200.0,2063
225.0,2172
185.0,2000
185.0,2000
150.0,2000
170.0,2000
185.0,2000
170.0,2000
150.0,2000
150.0,2000
185.0,2000
170.0,2000
150.0,2000
150.0,2000
185.0,2078
185.0,2000
185.0,2000
185.0,2000
170.0,2117
150.0,2000
185.0,2115
185.0,2000
185.0,2000
185.0,2268
185.0,2000
172.0,2000
172.0,2000
172.0,2000
172.0,2000
172.0,2000
172.0,2000
172.0,2000
172.0,2000
172.0,2000
350.0,96200
430.0,132800
430.0,120900
400.0,105630
400.0,98900
520.0,163000
350.0,102930
520.0,151100
350.0,91030
350.0,84300
430.0,114200
560.0,182700
560.0,194600
475.0,130400
400.0,110800
400.0,117530
430.0,126100
350.0,101600
400.0,116200
350.0,102930
430.0,120900
400.0,105630
430.0,126100
350.0,91030
400.0,98900
430.0,132800
350.0,84300
520.0,151100
350.0,104600
350.0,102930
430.0,132800
430.0,114200
350.0,88800
560.0,194600
350.0,96200
400.0,117530
350.0,94800
400.0,110800
400.0,117530
350.0,98500
520.0,163000
560.0,182700
475.0,130400
500.0,175900
540.0,159200
370.0,108600
580.0,200400
420.0,115700
420.0,110300
420.0,122600
420.0,103400
370.0,96300
370.0,101700
540.0,171500
580.0,188100
370.0,108600
420.0,122600
370.0,89400
345.0,6294
345.0,7419
345.0,9400
195.0,2000
193.0,2000
193.0,2000
114.0,2000
114.0,2000
162.0,2000
114.0,2000
114.0,2000
162.0,2000
114.0,2000
114.0,2000
162.0,2000
162.0,2000
162.0,2000
162.0,2000
162.0,2000
114.0,2000
208.0,2667
208.0,3083
208.0,3578
208.0,3047
181.0,2000
181.0,2000
181.0,2000
181.0,2000
181.0,2000
181.0,2000
236.0,4651
236.0,3839
236.0,4191
236.0,4878
236.0,4723
236.0,5576
150.0,35150
150.0,32600
220.0,33200
170.0,44050
170.0,29900
220.0,41650
170.0,38150
220.0,35750
150.0,41050
220.0,47050
170.0,38350
170.0,35600
220.0,38600
220.0,41150
170.0,32450
220.0,34200
220.0,39600
220.0,37700
150.0,33200
220.0,43050
170.0,39300
170.0,36600
170.0,39750
170.0,45450
220.0,48450
150.0,36700
170.0,34400
150.0,35900
220.0,43100
220.0,36900
170.0,33600
170.0,30900
170.0,40100
220.0,42300
150.0,42050
220.0,43150
186.0,40150
220.0,37450
186.0,37600
186.0,34450
220.0,40300
220.0,49250
220.0,43550
186.0,31200
186.0,40850
186.0,46550
220.0,34200
252.0,51400
252.0,44000
252.0,47000
220.0,45000
220.0,39700
220.0,43800
220.0,35500
220.0,38500
220.0,37600
220.0,36400
220.0,42900
220.0,37600
220.0,37000
220.0,38000
220.0,38000
220.0,35900
220.0,40100
220.0,39100
252.0,37300
190.0,34900
252.0,48000
252.0,43200
252.0,41100
252.0,45900
252.0,39400
190.0,38700
190.0,37850
252.0,42350
220.0,43800
220.0,41500
220.0,47900
220.0,50200
220.0,40500
220.0,42800
220.0,41200
220.0,48600
220.0,42200
240.0,58700
220.0,50450
220.0,44800
310.0,60100
220.0,48350
310.0,56300
220.0,46900
240.0,62500
252.0,52100
252.0,49900
252.0,46200
240.0,59500
333.0,61600
333.0,57400
240.0,63700
252.0,48400
252.0,53800
333.0,61600
340.0,67600
333.0,58600
252.0,49800
252.0,51600
252.0,47600
310.0,65900
310.0,69750
240.0,68300
240.0,72150
240.0,70400
333.0,68300
240.0,73050
333.0,70950
333.0,68800
333.0,71350
240.0,85200
500.0,137900
450.0,90500
333.0,81500
450.0,91500
333.0,82500
281.0,43850
281.0,45850
281.0,33975
281.0,40820
281.0,42820
281.0,42095
281.0,44095
281.0,38555
288.0,47690
281.0,35975
288.0,49690
281.0,36555
281.0,36755
281.0,44295
281.0,42295
281.0,30975
281.0,36175
288.0,49890
281.0,41020
281.0,34175
288.0,47890
281.0,38755
281.0,43020
194.0,38350
310.0,43750
194.0,35070
194.0,32450
194.0,37070
310.0,41450
194.0,34450
194.0,29070
310.0,44920
310.0,46920
310.0,41750
138.0,17395
138.0,14895
138.0,15645
138.0,16095
138.0,14645
138.0,16395
137.0,14745
137.0,14995
137.0,15745
137.0,17495
137.0,16495
137.0,16195
137.0,15745
137.0,17495
137.0,16195
137.0,16495
137.0,14745
137.0,14995
100.0,2000
106.0,2000
100.0,2000
271.0,34020
271.0,36220
271.0,29670
271.0,34770
271.0,32570
271.0,29990
271.0,32890
271.0,36540
271.0,34340
271.0,35090
195.0,31905
195.0,29155
195.0,34905
196.0,35055
196.0,32055
196.0,29305
212.0,29605
212.0,32905
212.0,35955
196.0,39780
278.0,30775
278.0,32270
278.0,32550
185.0,23775
185.0,26300
185.0,30195
185.0,25450
278.0,32550
189.0,24665
185.0,25030
185.0,30270
185.0,25830
185.0,28495
278.0,30495
278.0,30775
185.0,22105
185.0,28420
278.0,33630
185.0,24625
189.0,23865
185.0,22905
278.0,32745
185.0,28670
185.0,26850
189.0,25065
278.0,30745
185.0,27380
278.0,34680
185.0,27850
185.0,24725
189.0,24265
185.0,26380
185.0,30845
185.0,25580
185.0,23005
185.0,23875
185.0,28845
189.0,26065
185.0,26000
185.0,25725
185.0,24005
278.0,31025
278.0,34225
278.0,33025
185.0,22205
278.0,31025
185.0,30670
189.0,26215
185.0,24025
185.0,30995
185.0,22355
278.0,34830
185.0,26150
278.0,32895
189.0,25215
185.0,27530
185.0,28820
185.0,24155
278.0,34375
278.0,30895
278.0,33175
278.0,31175
185.0,27000
185.0,28000
189.0,24415
185.0,28995
185.0,30820
278.0,31175
185.0,25875
185.0,26530
185.0,23155
189.0,26215
185.0,25730
189.0,25415
185.0,24875
150.0,2000
150.0,2000
150.0,2000
150.0,2000
150.0,2000
335.0,61400
335.0,61900
335.0,62100
350.0,84300
350.0,84300
335.0,84300
480.0,88900
480.0,88900
155.0,17049
155.0,16349
155.0,15949
155.0,13449
155.0,15449
155.0,17349
155.0,15649
155.0,16849
155.0,15149
155.0,16049
155.0,16549
155.0,17849
155.0,14349
155.0,17549
155.0,16599
155.0,15499
155.0,15999
155.0,14099
155.0,16099
155.0,15299
155.0,14599
155.0,16999
155.0,17099
155.0,14999
155.0,16199
155.0,15099
155.0,14299
155.0,16299
155.0,17199
155.0,15299
155.0,16199
135.0,2000
135.0,2000
155.0,2000
135.0,2000
140.0,2000
155.0,2000
140.0,2000
140.0,2000
140.0,2000
140.0,2000
152.0,2000
140.0,2000
170.0,22395
170.0,21080
140.0,19605
170.0,21080
140.0,17805
140.0,17805
140.0,19855
170.0,22145
170.0,21585
140.0,18085
170.0,21585
140.0,20035
170.0,22935
170.0,22685
140.0,18085
140.0,20035
170.0,23335
140.0,18485
170.0,21985
140.0,20435
140.0,18485
140.0,20435
170.0,23085
170.0,21985
200.0,2000
200.0,2234
295.0,2358
250.0,39950
250.0,41000
300.0,46950
250.0,39950
250.0,39950
250.0,40250
300.0,47250
250.0,40250
220.0,40700
220.0,43300
220.0,49200
220.0,44500
220.0,42400
220.0,49800
220.0,42700
220.0,44800
540.0,117300
600.0,122200
600.0,122500
540.0,135200
540.0,132200
540.0,131300
540.0,128300
540.0,132200
540.0,131300
540.0,135200
540.0,128300
600.0,137000
375.0,136900
198.0,26650
158.0,26780
198.0,26800
182.0,22560
182.0,28150
270.0,31950
182.0,22300
270.0,29830
270.0,32350
270.0,26450
182.0,24720
270.0,32090
270.0,27390
182.0,22500
182.0,22900
182.0,24470
182.0,25460
182.0,28570
270.0,27990
270.0,32690
179.0,25460
179.0,22500
270.0,32690
179.0,22900
270.0,27990
179.0,24470
179.0,28570
264.0,25495
264.0,25495
264.0,26045
503.0,129900
503.0,131200
456.0,111200
317.0,37590
317.0,52860
317.0,42680
317.0,45580
317.0,42890
317.0,49960
317.0,50780
317.0,53680
317.0,43810
317.0,46500
317.0,49880
317.0,43600
317.0,38510
317.0,52780
390.0,49650
390.0,57590
390.0,60490
390.0,52550
390.0,44900
390.0,47800
450.0,221990
500.0,242990
450.0,263990
450.0,263990
500.0,242990
450.0,221990
500.0,270990
450.0,224990
500.0,246990
450.0,267990
235.0,30935
235.0,33810
302.0,32905
302.0,35780
385.0,45270
303.0,37115
303.0,34730
63.0,2000
63.0,2000
63.0,2000
63.0,2000
63.0,2000
63.0,2000
63.0,2000
190.0,22050
190.0,24450
190.0,25195
190.0,22695
190.0,22930
190.0,25430
190.0,25690
190.0,23690
190.0,26195
190.0,24195
190.0,24430
190.0,26430
321.0,48165
321.0,50165
272.0,37995
272.0,40445
272.0,46935
321.0,51435
321.0,45150
272.0,47095
272.0,48205
321.0,47750
321.0,50325
272.0,41920
272.0,44935
272.0,44520
272.0,47605
272.0,41920
335.0,48675
272.0,48715
272.0,45445
335.0,45150
272.0,40445
335.0,47750
272.0,47445
335.0,50675
272.0,37995
335.0,51945
272.0,44520
335.0,50835
272.0,43395
272.0,37595
272.0,39995
335.0,49495
272.0,41395
335.0,46995
335.0,48995
464.0,62665
464.0,60465
464.0,62895
464.0,60695
272.0,41340
272.0,39340
202.0,33215
272.0,45615
321.0,47615
321.0,44660
272.0,46715
272.0,37245
321.0,41340
321.0,46660
321.0,48715
272.0,44660
272.0,35245
272.0,42660
202.0,37340
321.0,43340
335.0,41340
272.0,46110
335.0,45155
272.0,39340
335.0,47155
272.0,43155
272.0,37245
335.0,48110
202.0,37340
272.0,35245
335.0,43340
202.0,33215
272.0,47210
272.0,41340
272.0,45155
335.0,49210
335.0,46995
272.0,40395
335.0,43995
335.0,45995
272.0,34595
272.0,36595
272.0,38395
250.0,34794
215.0,30619
215.0,31615
250.0,35085
250.0,34725
320.0,45815
320.0,35725
320.0,38830
320.0,39405
320.0,46195
320.0,39350
320.0,49500
320.0,42455
320.0,36300
320.0,40195
320.0,43245
320.0,47000
320.0,39850
320.0,36800
320.0,50305
200.0,37800
200.0,41700
200.0,36470
200.0,36650
200.0,38100
200.0,41950
200.0,42550
200.0,38700
200.0,37250
268.0,37170
268.0,32285
268.0,39980
268.0,36080
268.0,34140
268.0,37050
268.0,35850
268.0,40450
268.0,32650
268.0,34400
268.0,41050
268.0,37650
268.0,33250
268.0,36450
268.0,35000
283.0,25995
173.0,21495
283.0,23995
173.0,18995
283.0,25695
173.0,19795
173.0,22595
173.0,20595
283.0,25795
173.0,23295
700.0,441600
700.0,397500
720.0,548800
720.0,497650
700.0,441600
700.0,397500
720.0,548800
720.0,497650
700.0,443800
750.0,535500
750.0,490700
700.0,399500
107.0,11965
107.0,15365
107.0,14100
107.0,11965
107.0,14100
107.0,15365
108.0,15365
108.0,11965
108.0,14100
108.0,12115
108.0,15365
108.0,14250
108.0,15365
108.0,12115
108.0,11965
108.0,14250
108.0,15365
108.0,14100
302.0,45125
302.0,42175
302.0,39485
302.0,42435
302.0,45705
302.0,42755
302.0,40290
302.0,43240
302.0,40635
302.0,43585
138.0,2000
138.0,2000
138.0,2000
138.0,2000
293.0,38200
293.0,34000
293.0,34100
293.0,39300
293.0,34100
293.0,39300
185.0,23820
185.0,20870
185.0,24190
185.0,21275
185.0,24445
185.0,21530
500.0,363000
450.0,329990
450.0,329990
450.0,334990
177.0,41450
177.0,41450
177.0,39900
119.0,2179
160.0,3323
160.0,2915
150.0,2756
119.0,2692
150.0,2930
119.0,2717
150.0,3033
150.0,2713
119.0,2432
160.0,3514
160.0,3696
119.0,2593
160.0,3538
160.0,2870
119.0,2211
150.0,3206
150.0,3119
150.0,3214
150.0,2853
160.0,3221
119.0,2493
150.0,2946
150.0,3011
119.0,2857
160.0,3229
119.0,2801
119.0,2637
119.0,2961
143.0,3107
143.0,3394
143.0,2689
160.0,3768
119.0,2350
143.0,3289
143.0,2413
160.0,3928
160.0,3579
143.0,3032
143.0,3190
207.0,26590
148.0,19675
143.0,15535
148.0,19040
148.0,21430
207.0,22045
207.0,26590
207.0,22045
143.0,15535
143.0,16060
207.0,22150
150.0,20030
150.0,14990
150.0,17225
150.0,18485
119.0,14545
119.0,12345
150.0,18360
207.0,19340
150.0,17545
140.0,12495
207.0,22085
140.0,14695
150.0,15125
250.0,30695
250.0,32395
250.0,34195
250.0,34295
250.0,37695
250.0,35895
250.0,33895
250.0,32295
250.0,35895
250.0,32295
250.0,34195
250.0,32395
250.0,33895
250.0,35695
250.0,34295
250.0,35695
250.0,37695
250.0,30695
245.0,29995
245.0,37295
245.0,35495
245.0,37295
245.0,33495
245.0,33495
245.0,31995
245.0,34495
245.0,35495
245.0,32495
245.0,32495
245.0,34495
165.0,22795
210.0,23995
210.0,24995
165.0,21995
210.0,26295
165.0,22345
210.0,24345
210.0,25345
210.0,27245
165.0,23145
210.0,24595
165.0,22495
210.0,25595
210.0,27495
165.0,23295
170.0,27295
210.0,31795
210.0,34895
170.0,27295
140.0,32755
210.0,29395
170.0,29395
170.0,25170
210.0,30495
210.0,30695
170.0,29395
140.0,31195
210.0,30695
170.0,30755
210.0,34895
170.0,27295
210.0,33795
140.0,30095
210.0,30495
170.0,27295
210.0,29395
210.0,33795
170.0,29395
140.0,29995
170.0,25170
170.0,25170
210.0,31795
170.0,25170
170.0,29395
140.0,28895
150.0,30295
210.0,31995
210.0,33995
150.0,30195
210.0,32595
170.0,29595
210.0,35095
170.0,30425
170.0,29595
170.0,27475
210.0,30895
150.0,31125
150.0,29675
210.0,30995
210.0,34875
210.0,32595
210.0,29895
150.0,29095
150.0,31395
210.0,29895
170.0,27475
170.0,25595
170.0,30425
170.0,25595
170.0,25995
210.0,30995
210.0,30895
210.0,35975
150.0,30775
210.0,33995
150.0,32225
210.0,35975
210.0,31495
170.0,27995
210.0,35095
210.0,31995
210.0,31495
170.0,27995
210.0,34875
210.0,29790
170.0,28070
210.0,34950
210.0,32670
170.0,28070
210.0,31570
170.0,30500
170.0,25995
210.0,36050
210.0,30890
210.0,36050
210.0,32670
170.0,25490
210.0,34950
210.0,29790
210.0,30890
170.0,30500
210.0,31570
170.0,25490
170.0,25995
150.0,25895
210.0,31625
170.0,20195
170.0,24185
170.0,26985
210.0,30525
170.0,26195
210.0,30525
210.0,31625
170.0,26195
170.0,23085
170.0,21795
210.0,28115
210.0,32475
210.0,28675
170.0,20695
210.0,25450
150.0,27710
210.0,25450
210.0,26550
170.0,25885
210.0,29215
170.0,25095
150.0,26430
170.0,25885
150.0,29625
210.0,31375
170.0,25095
170.0,20695
150.0,28525
170.0,23085
150.0,28810
170.0,24705
210.0,29215
170.0,21795
210.0,32475
210.0,28115
210.0,28675
210.0,31375
210.0,26550
170.0,23605
150.0,25330
210.0,29775
210.0,29775
170.0,24705
170.0,24185
150.0,24795
170.0,23605
170.0,26985
210.0,25995
210.0,27095
170.0,22450
170.0,19795
170.0,25975
170.0,21350
210.0,27095
170.0,19595
210.0,31450
210.0,31450
170.0,22450
210.0,32550
170.0,25975
170.0,23995
210.0,32550
170.0,21350
170.0,19795
210.0,25995
170.0,23995
170.0,20475
170.0,19995
170.0,23995
170.0,21890
210.0,32550
170.0,25975
170.0,22450
170.0,2000
120.0,2000
120.0,2000
160.0,2000
120.0,2000
155.0,2000
320.0,39030
320.0,41675
320.0,44580
320.0,38625
320.0,47885
320.0,35980
300.0,51785
190.0,20745
190.0,23745
190.0,24695
190.0,26695
190.0,22845
190.0,25230
190.0,27230
190.0,24055
190.0,23255
190.0,21055
190.0,24305
190.0,21305
190.0,25480
190.0,27480
200.0,40905
200.0,36620
205.0,26695
205.0,29670
240.0,34020
205.0,27185
275.0,35270
205.0,30035
275.0,35585
205.0,30350
205.0,27965
337.0,30995
276.0,27995
276.0,29995
276.0,26245
337.0,39995
337.0,37995
